dataset,model,emotion,accuracy,precision,recall,f1_score,num_samples,blocked_filtered
LAIGAI,intern-vl-3.5-8b,amusement,0.44,0.8462,0.44,0.5789,25,False
LAIGAI,intern-vl-3.5-8b,anger,0.2143,0.5,0.2143,0.3,14,False
LAIGAI,intern-vl-3.5-8b,attachment love,0.375,0.2143,0.375,0.2727,8,False
LAIGAI,intern-vl-3.5-8b,awe,0.8667,0.6341,0.8667,0.7324,30,False
LAIGAI,intern-vl-3.5-8b,craving,0.15,1.0,0.15,0.2609,40,False
LAIGAI,intern-vl-3.5-8b,disgust,0.7143,0.8065,0.7143,0.7576,35,False
LAIGAI,intern-vl-3.5-8b,excitement,0.7,0.5385,0.7,0.6087,20,False
LAIGAI,intern-vl-3.5-8b,fear,0.6667,0.8485,0.6667,0.7467,42,False
LAIGAI,intern-vl-3.5-8b,joy,0.9067,0.6154,0.9067,0.7332,150,False
LAIGAI,intern-vl-3.5-8b,neutral,0.2619,0.7857,0.2619,0.3929,42,False
LAIGAI,intern-vl-3.5-8b,nurturant love,0.0,0.0,0.0,0.0,14,False
LAIGAI,intern-vl-3.5-8b,sadness,0.9833,0.7867,0.9833,0.8741,60,False
LAIGAI,qwen-vl-2.5-7b,amusement,0.84,0.5385,0.84,0.6562,25,False
LAIGAI,qwen-vl-2.5-7b,anger,0.5,0.3333,0.5,0.4,14,False
LAIGAI,qwen-vl-2.5-7b,attachment love,1.0,0.1026,1.0,0.186,8,False
LAIGAI,qwen-vl-2.5-7b,awe,0.7333,0.7586,0.7333,0.7458,30,False
LAIGAI,qwen-vl-2.5-7b,craving,0.75,0.9677,0.75,0.8451,40,False
LAIGAI,qwen-vl-2.5-7b,disgust,0.8857,0.62,0.8857,0.7294,35,False
LAIGAI,qwen-vl-2.5-7b,excitement,0.85,0.4857,0.85,0.6182,20,False
LAIGAI,qwen-vl-2.5-7b,fear,0.4762,0.9091,0.4762,0.625,42,False
LAIGAI,qwen-vl-2.5-7b,joy,0.44,0.6804,0.44,0.5344,150,False
LAIGAI,qwen-vl-2.5-7b,neutral,0.2381,0.8333,0.2381,0.3704,42,False
LAIGAI,qwen-vl-2.5-7b,nurturant love,0.0,0.0,0.0,0.0,14,False
LAIGAI,qwen-vl-2.5-7b,sadness,0.8333,0.7576,0.8333,0.7937,60,False
